title,sentiment
Taskforce proposes semiconductor fund for design and testing,neutral
Idra puts 32 insurers in ‘high-risk’ category,neutral
Lack of bank support stifles SME growth,positive
Four top NBR officials sent into retirement,positive
Exports rose 8% to $48b in FY25 despite economic headwinds,neutral
"High interest rates threaten SME jobs, stability",positive
Citizens Bank targets rural unbanked  in growth push,positive
China: From copycat to innovator,neutral
"Bank booths, hotels can now get limited money changer licence",negative
"Bangladesh, Netherlands vow stronger ties on circular textile",positive
BB relaxes lending limit to foreign firms,positive
FBCCI election deadline extended by 45 days,neutral
Exports grow 8.58% in FY25,neutral
"Berger Paints recommends 525% cash dividend, highest in 8 years",positive
Stocks rebound in early trading,neutral
Chattogram Customs commissioner suspended for joining NBR shutdown,negative
Remittance up by $6.4b in FY25,neutral
Taskforce proposes semiconductor fund for design and testing,neutral
Idra puts 32 insurers in ‘high-risk’ category,neutral
Lack of bank support stifles SME growth,positive
Four top NBR officials sent into retirement,positive
Exports rose 8% to $48b in FY25 despite economic headwinds,neutral
"High interest rates threaten SME jobs, stability",positive
Citizens Bank targets rural unbanked  in growth push,positive
China: From copycat to innovator,neutral
Online submission of export-import papers made mandatory,positive
Five more NBR officials under ACC scanner,neutral
CPA to operate new mooring terminal for six months,neutral
Govt slashes interest rates on savings certificates,positive
Trump threatens tariffs on Japan over rice exports,negative
"Is job hopping the problem, or the system?",negative
Apple fruitlessly ponders the innovator’s dilemma,negative
"Local, global crises prolong DSE slump in first half",neutral
"Rice prices rise defying Boro supply, imports",neutral
Depositors leave troubled banks for stronger rivals,negative
Taskforce proposes semiconductor fund for design and testing,neutral
Idra puts 32 insurers in ‘high-risk’ category,neutral
Lack of bank support stifles SME growth,positive
Four top NBR officials sent into retirement,positive
Exports rose 8% to $48b in FY25 despite economic headwinds,neutral
"High interest rates threaten SME jobs, stability",positive
Citizens Bank targets rural unbanked  in growth push,positive
China: From copycat to innovator,neutral
Eastern Refinery's second unit to be built with govt funding,neutral
10 Mbps broadband internet to cost Tk 500 a month from Jul 1: ISPAB,neutral
Number of online tax returns triple in FY25: NBR,positive
A bleak transition: fiscal challenges persist as FY25 ends and FY26 begins,positive
Over half of farmland deemed economically unsustainable: survey,neutral
Govt has no connection with ACC probe of NBR officials,negative
Rupali Bank to issue over 45cr shares against govt equity,positive
11 more banks to face asset quality review,positive
Capital market left behind in FY26 budget,neutral
Eastern Refinery hits record in production,neutral
Taskforce proposes semiconductor fund for design and testing,neutral
Idra puts 32 insurers in ‘high-risk’ category,neutral
Lack of bank support stifles SME growth,positive
Four top NBR officials sent into retirement,positive
Exports rose 8% to $48b in FY25 despite economic headwinds,neutral
"High interest rates threaten SME jobs, stability",positive
Citizens Bank targets rural unbanked  in growth push,positive
China: From copycat to innovator,neutral
Tariffs will extend Toyota’s  lead over Japan Inc,positive
CPD calls for reviewing 31 cancelled solar power deals,negative
Waterlogging hampers operations at Jamalpur BSCIC estate,neutral
New fiscal year starts on positive note but fault lines remain,negative
"Few banks thrived, others bled in 2024",neutral
"Customs operations resume at sea, land ports",neutral
"Against the odds, Bangladesh gains ground in US apparel market",positive
"Jean Pesme, World Bank's new director for Bangladesh and Bhutan",neutral
Stocks end five-day gaining streak,positive
Trade resumes at Akhaura Land Port as NBR officials withdraw shutdown,neutral
Taskforce proposes semiconductor fund for design and testing,neutral
Idra puts 32 insurers in ‘high-risk’ category,neutral
Lack of bank support stifles SME growth,positive
Four top NBR officials sent into retirement,positive
Exports rose 8% to $48b in FY25 despite economic headwinds,neutral
"High interest rates threaten SME jobs, stability",positive
Citizens Bank targets rural unbanked  in growth push,positive
China: From copycat to innovator,neutral
Stocks down in morning trade,neutral
Remittance flows over $30 billion in FY25,neutral
NBR officials end strike after govt warning,negative
Trump metal tariffs wreak  havoc on US factory,negative
Digital ID overhaul needs local expertise,neutral
Logistics costs remain alarmingly high: DCCI,negative
"Bangladesh needs more time for fully flexible exchange rate, says IMF",positive
"Trade halts as customs shutdown paralyses sea, land ports",neutral
Bond boom contributes half of bank income,neutral
Two digital platforms launched to enhance access to policy-relevant data,positive
Taskforce proposes semiconductor fund for design and testing,neutral
Idra puts 32 insurers in ‘high-risk’ category,neutral
Lack of bank support stifles SME growth,positive
Four top NBR officials sent into retirement,positive
Exports rose 8% to $48b in FY25 despite economic headwinds,neutral
"High interest rates threaten SME jobs, stability",positive
Citizens Bank targets rural unbanked  in growth push,positive
China: From copycat to innovator,neutral
NBR stalemate: Business leaders meet with finance adviser,neutral
5-member panel of advisers formed to resolve NBR crisis,negative
Govt warns of tough action against protesting NBR officials,negative
Titas Gas to convert Tk 282.74cr deposit into preference shares for govt,positive
Stocks gain for fifth day,positive
"Olympic Industries to buy Tk 21 crore lands in Gazipur, Narayanganj",neutral
Operations at Ctg port disrupted as NBR officials' strike continues for second day,negative
DCCI calls for urgent logistics reforms to spur sustainable growth,positive
Stocks rally for fifth day,neutral
Strike by NBR officials continues for second day amid disruption in overseas trade activities,negative
Taskforce proposes semiconductor fund for design and testing,neutral
Idra puts 32 insurers in ‘high-risk’ category,neutral
Lack of bank support stifles SME growth,positive
Four top NBR officials sent into retirement,positive
Exports rose 8% to $48b in FY25 despite economic headwinds,neutral
"High interest rates threaten SME jobs, stability",positive
Citizens Bank targets rural unbanked  in growth push,positive
China: From copycat to innovator,neutral
Reserves cross $25b after 2.5 years,neutral
"Weaker taka, high interest rates strain private sector",neutral
Can the local tea industry recover?,neutral
Salehuddin urges caution in approving large projects,neutral
"Businesses fret about NBR deadlock, seek quick end",negative
Rice production already under climate stresses,negative
Set Tk 800 as lowest payable for broadband packages,negative
"CA’s special aide questions IMF, World Bank role in 15 years of graft",positive
"Exporters, top chambers demand immediate end to NBR impasse",positive
IMF conditions: Govt pledges to track graft in tax admin,neutral
Taskforce proposes semiconductor fund for design and testing,neutral
Idra puts 32 insurers in ‘high-risk’ category,neutral
Lack of bank support stifles SME growth,positive
Four top NBR officials sent into retirement,positive
Exports rose 8% to $48b in FY25 despite economic headwinds,neutral
"High interest rates threaten SME jobs, stability",positive
Citizens Bank targets rural unbanked  in growth push,positive
China: From copycat to innovator,neutral
Directors’ assets may be sold to settle policyholder dues,positive
Trade policy reforms needed ahead of LDC graduation: PRI,neutral
$1b a year needed to hit 2030 green energy goal,positive
Forex reserves highest since August 2023,neutral
Trump says China can  buy Iranian oil,neutral
Market access is the missing link for CMSMEs,negative
Macroeconomic indicators show early signs of stability,neutral
CPA prepares to run new mooring terminal with final nod pending,neutral
‘Policy gaps weigh on auto industry’,neutral
Taskforce proposes semiconductor fund for design and testing,neutral
Idra puts 32 insurers in ‘high-risk’ category,neutral
Lack of bank support stifles SME growth,positive
Four top NBR officials sent into retirement,positive
Exports rose 8% to $48b in FY25 despite economic headwinds,neutral
"High interest rates threaten SME jobs, stability",positive
Citizens Bank targets rural unbanked  in growth push,positive
China: From copycat to innovator,neutral
"Asia stocks edge up, dollar droops as ceasefire buoys confidence",positive
NBR officials’ pen-down strike enters  second day,negative
"NBR detects tax evasion of Tk 6,250cr since Sep of 2024",neutral
Why every company should be audited,neutral
Global growth at risk amid rising geopolitical turmoil: WEF,negative
A balancing act in turbulent times,neutral
Reserves to edge up as IMF expands support to $5.5b,positive
Govt to amend labour law by Oct: adviser,neutral
One lakh stock accounts closed amid IPO drought in FY25,neutral
Taskforce proposes semiconductor fund for design and testing,neutral
Idra puts 32 insurers in ‘high-risk’ category,neutral
Lack of bank support stifles SME growth,positive
Four top NBR officials sent into retirement,positive
Exports rose 8% to $48b in FY25 despite economic headwinds,neutral
"High interest rates threaten SME jobs, stability",positive
Citizens Bank targets rural unbanked  in growth push,positive
China: From copycat to innovator,neutral
Bangladesh sees sharp decline in quality rawhides: CPD study,neutral
No shortcut in audit standards,negative
Govt borrowing from domestic sources surges,neutral
NBR officials announce nationwide shutdown from Saturday,neutral
Iran-Israel conflict's impact on Bangladesh limited until now: BRAC EPL,negative
Bangladesh signs $400m budget support deal with AIIB,positive
Scope for whitening black money goes,neutral
Why local garment industry must go nano,neutral
Taskforce proposes semiconductor fund for design and testing,neutral
Idra puts 32 insurers in ‘high-risk’ category,neutral
Lack of bank support stifles SME growth,positive
Four top NBR officials sent into retirement,positive
Exports rose 8% to $48b in FY25 despite economic headwinds,neutral
"High interest rates threaten SME jobs, stability",positive
Citizens Bank targets rural unbanked  in growth push,positive
China: From copycat to innovator,neutral
Ministry opts to hand over New Mooring Container Terminal to CPA,positive
Stocks drop 1.6% amid global tensions,negative
"Salehuddin defends budget, says a ‘highway is born out of an old road’",neutral
BPO industry slowly embracing AI,neutral
"Salehuddin defends budget, says 'a highway is born out of an old road’",neutral
Dhaka stocks drop 1.6% amidst global tension,negative
Corporate tax for non-listed firms unchanged at 27.5%,neutral
"Govt lowers tax rate for private universities, medical colleges",negative
"WB approves $500m for governance, financial reforms",positive
Taskforce proposes semiconductor fund for design and testing,neutral
Idra puts 32 insurers in ‘high-risk’ category,neutral
Lack of bank support stifles SME growth,positive
Four top NBR officials sent into retirement,positive
Exports rose 8% to $48b in FY25 despite economic headwinds,neutral
"High interest rates threaten SME jobs, stability",positive
Citizens Bank targets rural unbanked  in growth push,positive
China: From copycat to innovator,neutral
Do we learn anything from loan failures?,negative
Govt may scrap money whitening provision,neutral
Tight monetary policy alone can’t reduce inflation,negative
EPA talks with Japan to end in August,neutral
"Without AI, Bangladesh risks falling behind: experts",positive
NBR officials again announce pen-down strike,negative
"WB to give Bangladesh $500m fund for governance, transparency, financial stability",neutral
"Middle East tensions put investors on alert, weighing worst-case scenarios",negative
Govt to scale back foreign loan reliance,neutral
Taskforce proposes semiconductor fund for design and testing,neutral
Idra puts 32 insurers in ‘high-risk’ category,neutral
Lack of bank support stifles SME growth,positive
Four top NBR officials sent into retirement,positive
Exports rose 8% to $48b in FY25 despite economic headwinds,neutral
"High interest rates threaten SME jobs, stability",positive
Citizens Bank targets rural unbanked  in growth push,positive
China: From copycat to innovator,neutral
ICAB terms ICMAB’s claims ‘misleading and unprofessional’,neutral
Govt unveils new renewable energy policy,positive
Committee to be formed to find ways for long-term fund from capital market,neutral
BSEC rejects Mir Akhter’s preference share proposal,negative
Renata’s preference shares to be fully convertible,positive
"Law drafted to offer securities rules, ordinance in one act: BSEC",positive
Stocks end lower as turnover falls,negative
"Global stocks tumble, safe havens gain as Middle East conflict flares",positive
FBCCI election on Sep 7,neutral
RMG exports to non-traditional markets rise,neutral
Taskforce proposes semiconductor fund for design and testing,neutral
Idra puts 32 insurers in ‘high-risk’ category,neutral
Lack of bank support stifles SME growth,positive
Four top NBR officials sent into retirement,positive
Exports rose 8% to $48b in FY25 despite economic headwinds,neutral
"High interest rates threaten SME jobs, stability",positive
Citizens Bank targets rural unbanked  in growth push,positive
China: From copycat to innovator,neutral
42% of disaster-hit households forced to use up savings: study,negative
Digital service providers: era of partnership?,neutral
Govt to amend Consumer Rights Act: Commerce Adviser,neutral
Sri Lanka seeks Bangladeshi investment in pharma sector,neutral
Iran-Israel conflict raises concern over Bangladesh’s fuel imports,negative
Three-day National Fruit Fair begins tomorrow in Dhaka,positive
Proposed budget disconnected from the government’s broader reform agenda: Citizen’s Platform for SDGs,neutral
NCC Bank director to sell 1.11 crore shares,positive
No immediate fuel price hike,negative
Taskforce proposes semiconductor fund for design and testing,neutral
Idra puts 32 insurers in ‘high-risk’ category,neutral
Lack of bank support stifles SME growth,positive
Four top NBR officials sent into retirement,positive
Exports rose 8% to $48b in FY25 despite economic headwinds,neutral
"High interest rates threaten SME jobs, stability",positive
Citizens Bank targets rural unbanked  in growth push,positive
China: From copycat to innovator,neutral
Google Pay to launch in Bangladesh next week,negative
Dreamliner fleet: Biman begins precautionary inspection,neutral
Beijing has more at stake in Iran besides just oil,neutral
FY26 budget is far from expectations,neutral
Losses mount as rough weather hits post-ban fishing,negative
Bangladesh to follow WTO mechanism to deal with Trump tariff,neutral
Distressed asset law in the making to tackle NPLs,negative
Idra opens special audits into 15 life insurers,positive
Ten banks hold 71% of total bad loans,negative
Include CMAs in national audit framework: ICMAB president,neutral
